received_unix_ns,received_monotonic_ns,tick,mode_pr,mode_machine,left_shoulder_pitch_joint_q,left_shoulder_pitch_joint_dq,left_shoulder_pitch_joint_tau_est,left_shoulder_roll_joint_q,left_shoulder_roll_joint_dq,left_shoulder_roll_joint_tau_est,left_shoulder_yaw_joint_q,left_shoulder_yaw_joint_dq,left_shoulder_yaw_joint_tau_est,left_elbow_joint_q,left_elbow_joint_dq,left_elbow_joint_tau_est,left_wrist_roll_joint_q,left_wrist_roll_joint_dq,left_wrist_roll_joint_tau_est,left_wrist_pitch_joint_q,left_wrist_pitch_joint_dq,left_wrist_pitch_joint_tau_est,left_wrist_yaw_joint_q,left_wrist_yaw_joint_dq,left_wrist_yaw_joint_tau_est,right_shoulder_pitch_joint_q,right_shoulder_pitch_joint_dq,right_shoulder_pitch_joint_tau_est,right_shoulder_roll_joint_q,right_shoulder_roll_joint_dq,right_shoulder_roll_joint_tau_est,right_shoulder_yaw_joint_q,right_shoulder_yaw_joint_dq,right_shoulder_yaw_joint_tau_est,right_elbow_joint_q,right_elbow_joint_dq,right_elbow_joint_tau_est,right_wrist_roll_joint_q,right_wrist_roll_joint_dq,right_wrist_roll_joint_tau_est,right_wrist_pitch_joint_q,right_wrist_pitch_joint_dq,right_wrist_pitch_joint_tau_est,right_wrist_yaw_joint_q,right_wrist_yaw_joint_dq,right_wrist_yaw_joint_tau_est
1789652953331271378,2857452288843,3239005,0,5,0.15945011377334595,-0.010737866163253784,-4.5,0.08747286349534988,-0.0076699042692780495,-0.1875,-0.023153522983193398,-0.0015339808305725455,0.3125,-0.23490279912948608,0.00920388475060463,-4.9375,-0.08963002264499664,-0.003067961661145091,-0.0625,0.07566839456558228,0.012271846644580364,-1.524999976158142,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,-0.004601942375302315,-4.6875,-0.10283663868904114,-0.010737866163253784,-0.4375,0.04478504881262779,0.0015339808305725455,-0.5625,-0.20593692362308502,0.006135923322290182,-6.0625,0.09159543365240097,-0.013805828057229519,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15640611946582794,-0.02454369328916073,-0.16875000298023224
1789652953331999201,2857453017494,3239006,0,5,0.15945011377334595,-0.0076699042692780495,-4.5,0.08746087551116943,-0.00920388475060463,-0.1875,-0.023153522983193398,0.004601942375302315,0.3125,-0.23490279912948608,0.010737866163253784,-4.9375,-0.0896420031785965,-0.012271846644580364,-0.0625,0.07565641403198242,-0.006135923322290182,-1.5125000476837158,-0.15660984814167023,0.01840776950120926,0.012500000186264515,0.11699000746011734,-0.004601942375302315,-4.6875,-0.10283663868904114,-0.01840776950120926,-0.4375,0.04478504881262779,0.004601942375302315,-0.5625,-0.20593692362308502,0.00920388475060463,-6.0,0.09161940217018127,-0.00920388475060463,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15640611946582794,-0.01840776950120926,-0.16875000298023224
1789652953333090482,2857454108752,3239007,0,5,0.15945011377334595,-0.003067961661145091,-4.5,0.08746087551116943,-0.013805828057229519,-0.1875,-0.023153522983193398,0.0,0.3125,-0.23491477966308594,0.0015339808305725455,-4.9375,-0.08963002264499664,0.0,-0.0625,0.07565641403198242,-0.006135923322290182,-1.5125000476837158,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,0.0,-4.6875,-0.10283663868904114,-0.012271846644580364,-0.4375,0.04478504881262779,0.0,-0.5625,-0.20592494308948517,0.0076699042692780495,-6.0,0.09161940217018127,-0.00920388475060463,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953334133950,2857455152215,3239008,0,5,0.15945011377334595,-0.00920388475060463,-4.5,0.08747286349534988,-0.003067961661145091,-0.1875,-0.02316550724208355,0.0,0.3125,-0.23490279912948608,0.012271846644580364,-4.9375,-0.08963002264499664,-0.003067961661145091,-0.0625,0.07565641403198242,0.006135923322290182,-1.524999976158142,-0.15663382411003113,-0.006135923322290182,0.02500000037252903,0.11699000746011734,-0.004601942375302315,-4.6875,-0.10282465070486069,0.0015339808305725455,-0.4375,0.04477306455373764,0.0,-0.5625,-0.20592494308948517,0.00920388475060463,-6.0,0.09163138270378113,-0.003067961661145091,0.0625,0.0854714959859848,0.01840776950120926,-2.2125000953674316,0.156418114900589,-0.006135923322290182,-0.15625
1789652953334864166,2857455882372,3239009,0,5,0.15945011377334595,-0.010737866163253784,-4.5,0.08746087551116943,-0.013805828057229519,-0.1875,-0.023153522983193398,0.012271846644580364,0.3125,-0.23490279912948608,0.012271846644580364,-5.0,-0.0896420031785965,0.003067961661145091,-0.125,0.07564442604780197,-0.012271846644580364,-1.524999976158142,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,0.00920388475060463,-4.6875,-0.10283663868904114,-0.00920388475060463,-0.4375,0.04478504881262779,0.0076699042692780495,-0.5625,-0.20593692362308502,0.00920388475060463,-6.0,0.09164337068796158,0.0015339808305725455,0.125,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953335814008,2857456832046,3239010,0,5,0.15945011377334595,-0.00920388475060463,-4.4375,0.08746087551116943,-0.00920388475060463,-0.1875,-0.023153522983193398,0.0076699042692780495,0.3125,-0.23490279912948608,0.004601942375302315,-5.0,-0.0896420031785965,0.0,-0.125,0.07564442604780197,-0.012271846644580364,-1.524999976158142,-0.15662184357643127,0.0,0.02500000037252903,0.1170019879937172,0.0,-4.6875,-0.10282465070486069,-0.0015339808305725455,-0.4375,0.04478504881262779,0.006135923322290182,-0.5625,-0.20593692362308502,0.0076699042692780495,-6.0,0.09164337068796158,-0.0076699042692780495,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953336904026,2857457922042,3239011,0,5,0.15945011377334595,-0.0076699042692780495,-4.5,0.08746087551116943,0.0,-0.1875,-0.023153522983193398,0.013805828057229519,0.3125,-0.23491477966308594,-0.004601942375302315,-4.9375,-0.0896420031785965,0.0015339808305725455,-0.0625,0.07564442604780197,-0.012271846644580364,-1.5125000476837158,-0.15660984814167023,0.006135923322290182,0.02500000037252903,0.11699000746011734,0.0,-4.625,-0.10284861922264099,-0.006135923322290182,-0.4375,0.04478504881262779,0.0,-0.5625,-0.20593692362308502,0.00920388475060463,-6.0,0.09159543365240097,-0.023009711876511574,0.0625,0.08543553948402405,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953337869368,2857458887525,3239012,0,5,0.15945011377334595,-0.00920388475060463,-4.5,0.08747286349534988,0.0015339808305725455,-0.1875,-0.023153522983193398,0.015339808538556099,0.3125,-0.23491477966308594,0.0,-4.9375,-0.08963002264499664,0.003067961661145091,-0.125,0.07566839456558228,0.01840776950120926,-1.5125000476837158,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,0.0,-4.6875,-0.10284861922264099,-0.010737866163253784,-0.4375,0.04478504881262779,0.0015339808305725455,-0.625,-0.20592494308948517,0.01840776950120926,-6.0,0.09161940217018127,-0.0015339808305725455,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15643009543418884,0.01840776950120926,-0.16875000298023224
1789652953338742126,2857459760430,3239013,0,5,0.1594620943069458,-0.010737866163253784,-4.5,0.08746087551116943,-0.0015339808305725455,-0.1875,-0.02316550724208355,0.006135923322290182,0.3125,-0.23491477966308594,0.0015339808305725455,-4.9375,-0.0896420031785965,-0.0015339808305725455,-0.0625,0.07565641403198242,0.0,-1.524999976158142,-0.15662184357643127,0.0,0.012500000186264515,0.11699000746011734,0.004601942375302315,-4.6875,-0.10283663868904114,0.0,-0.4375,0.04478504881262779,0.0015339808305725455,-0.5625,-0.20592494308948517,0.0,-6.0625,0.09163138270378113,-0.010737866163253784,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15640611946582794,-0.01840776950120926,-0.15625
1789652953339750473,2857460768781,3239014,0,5,0.1594620943069458,-0.006135923322290182,-4.5,0.08747286349534988,0.0015339808305725455,-0.1875,-0.023153522983193398,0.010737866163253784,0.3125,-0.23490279912948608,0.00920388475060463,-5.0,-0.0896420031785965,-0.003067961661145091,-0.0625,0.07565641403198242,0.006135923322290182,-1.524999976158142,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,0.004601942375302315,-4.6875,-0.10283663868904114,0.004601942375302315,-0.4375,0.04478504881262779,-0.0076699042692780495,-0.5625,-0.20592494308948517,-0.0015339808305725455,-6.0,0.09160741418600082,-0.010737866163253784,0.0625,0.0854475274682045,-0.006135923322290182,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953341743861,2857462762065,3239015,0,5,0.15945011377334595,-0.0076699042692780495,-4.5,0.08746087551116943,0.0015339808305725455,-0.1875,-0.023153522983193398,0.012271846644580364,0.3125,-0.23490279912948608,0.006135923322290182,-4.9375,-0.08963002264499664,0.0,-0.0625,0.07565641403198242,-0.006135923322290182,-1.5125000476837158,-0.15660984814167023,0.01840776950120926,0.02500000037252903,0.11699000746011734,0.0,-4.6875,-0.10286060720682144,-0.0015339808305725455,-0.4375,0.04478504881262779,-0.003067961661145091,-0.5625,-0.20592494308948517,0.006135923322290182,-6.0625,0.09160741418600082,0.0,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.006135923322290182,-0.18125000596046448
1789652953342711678,2857463729817,3239016,0,5,0.1594620943069458,0.010737866163253784,-4.5,0.08746087551116943,-0.004601942375302315,-0.1875,-0.023153522983193398,0.00920388475060463,0.3125,-0.23490279912948608,-0.006135923322290182,-4.9375,-0.08963002264499664,0.0,-0.0625,0.07565641403198242,0.0,-1.5125000476837158,-0.15663382411003113,-0.012271846644580364,0.02500000037252903,0.11699000746011734,0.0,-4.6875,-0.10283663868904114,0.003067961661145091,-0.4375,0.04478504881262779,0.0,-0.625,-0.20593692362308502,0.003067961661145091,-6.0,0.09163138270378113,0.01840776950120926,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15640611946582794,-0.006135923322290182,-0.16875000298023224
1789652953343620088,2857464638376,3239017,0,5,0.1594381332397461,-0.004601942375302315,-4.5,0.08746087551116943,-0.006135923322290182,-0.1875,-0.023153522983193398,0.0,0.3125,-0.23490279912948608,0.003067961661145091,-4.9375,-0.0896420031785965,0.0,-0.125,0.07565641403198242,-0.006135923322290182,-1.5125000476837158,-0.15662184357643127,0.012271846644580364,0.02500000037252903,0.11699000746011734,0.004601942375302315,-4.6875,-0.10284861922264099,0.006135923322290182,-0.4375,0.04478504881262779,0.003067961661145091,-0.5625,-0.20593692362308502,0.0,-6.0,0.09163138270378113,0.012271846644580364,0.0625,0.08543553948402405,-0.012271846644580364,-2.2125000953674316,0.15640611946582794,-0.006135923322290182,-0.15625
1789652953344625872,2857465644128,3239018,0,5,0.15945011377334595,-0.004601942375302315,-4.5,0.08746087551116943,0.0,-0.1875,-0.023153522983193398,0.003067961661145091,0.3125,-0.23490279912948608,-0.003067961661145091,-4.9375,-0.08963002264499664,0.006135923322290182,-0.0625,0.07566839456558228,0.006135923322290182,-1.5125000476837158,-0.15662184357643127,-0.006135923322290182,0.02500000037252903,0.11699000746011734,-0.0076699042692780495,-4.6875,-0.10284861922264099,0.003067961661145091,-0.5,0.04477306455373764,-0.004601942375302315,-0.5625,-0.20592494308948517,0.00920388475060463,-6.0,0.09163138270378113,0.01840776950120926,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15643009543418884,0.006135923322290182,-0.15625
